Date	85Kr [Bq/cbm air]	Kr85_error [Bq/cbm air]
10-04-78	0.6611	0.019833
17-04-78	0.6822	0.020466
24-04-78	0.7339	0.022017
01-05-78	0.8981	0.026943
08-05-78	0.8814	0.026442
15-05-78	0.6952	0.020856
22-05-78	0.7341	0.022023
29-05-78	0.7027	0.021081
05-06-78	0.764	0.02292
12-06-78	0.6763	0.020289
19-06-78	0.6486	0.019458
26-06-78	0.706	0.02118
03-07-78	0.6378	0.019134
10-07-78	0.623	0.01869
17-07-78	0.6199	0.018597
24-07-78	0.6138	0.018414
31-07-78	0.6137	0.018411
07-08-78	0.6204	0.018612
14-08-78	0.6328	0.018984
21-08-78	0.6249	0.018747
28-08-78	0.6241	0.018723
04-09-78	0.6677	0.020031
11-09-78	0.7864	0.023592
18-09-78	0.8846	0.026538
25-09-78	0.6439	0.019317
02-10-78	0.664	0.01992
09-10-78	0.7691	0.023073
16-10-78	0.7098	0.021294
23-10-78	0.6616	0.019848
30-10-78	0.732	0.02196
06-11-78	0.6686	0.020058
13-11-78	0.7663	0.022989
20-11-78	0.6938	0.020814
27-11-78	0.6771	0.020313
04-12-78	0.6485	0.019455
11-12-78	0.7491	0.022473
18-12-78	0.6775	0.020325
26-12-78	0.6567	0.019701
08-01-79	0.6976	0.020928
15-01-79	0.7043	0.021129
22-01-79	0.8416	0.025248
29-01-79	0.8921	0.026763
05-02-79	0.6973	0.020919
12-02-79	0.6912	0.020736
19-02-79	0.7569	0.022707
26-02-79	0.7031	0.021093
05-03-79	0.6926	0.020778
12-03-79	0.8642	0.025926
19-03-79	0.7292	0.021876
26-03-79	0.7572	0.022716
02-04-79	0.7239	0.021717
09-04-79	0.7774	0.023322
17-04-79	0.705	0.02115
23-04-79	0.779	0.02337
30-04-79	0.8088	0.024264
07-05-79	0.856	0.02568
14-05-79	0.9506	0.028518
21-05-79	0.7524	0.022572
28-05-79	0.7146	0.021438
05-06-79	0.8569	0.025707
11-06-79	0.7542	0.022626
18-06-79	0.9734	0.029202
25-06-79	0.8284	0.024852
02-07-79	0.8632	0.025896
09-07-79	0.8465	0.025395
16-07-79	0.7209	0.021627
23-07-79	0.6701	0.020103
30-07-79	0.6842	0.020526
06-08-79	0.6798	0.020394
13-08-79	0.6757	0.020271
20-08-79	0.6755	0.020265
27-08-79	0.6646	0.019938
03-09-79	0.6853	0.020559
10-09-79	0.6904	0.020712
17-09-79	0.7505	0.022515
24-09-79	0.7619	0.022857
01-10-79	0.7076	0.021228
08-10-79	0.7565	0.022695
15-10-79	2.253	0.06759
22-10-79	2.825	0.08475
29-10-79	0.6969	0.020907
05-11-79	0.6522	0.019566
12-11-79	0.6771	0.020313
19-11-79	0.7698	0.023094
26-11-79	0.6758	0.020274
03-12-79	0.8127	0.024381
10-12-79	0.6846	0.020538
17-12-79	0.6909	0.020727
24-12-79	0.7628	0.022884
31-12-79	0.7996	0.023988
14-01-80	0.957	0.02871
21-01-80	0.887	0.02661
28-01-80	0.7365	0.022095
04-02-80	0.7987	0.023961
11-02-80	1	0.03
18-02-80	1.193	0.03579
25-02-80	1.031	0.03093
03-03-80	0.9286	0.027858
10-03-80	0.7946	0.023838
17-03-80	0.8591	0.025773
24-03-80	0.9062	0.027186
31-03-80	0.7801	0.023403
08-04-80	0.6968	0.020904
14-04-80	0.9556	0.028668
21-04-80	0.727	0.02181
28-04-80	0.806	0.02418
05-05-80	0.7728	0.023184
12-05-80	0.8165	0.024495
19-05-80	0.7285	0.021855
27-05-80	0.831	0.02493
02-06-80	0.7693	0.023079
09-06-80	0.7429	0.022287
16-06-80	0.7124	0.021372
23-06-80	0.7635	0.022905
30-06-80	0.7383	0.022149
07-07-80	0.7658	0.022974
14-07-80	0.7317	0.021951
21-07-80	0.6966	0.020898
28-07-80	0.6905	0.020715
04-08-80	0.6997	0.020991
11-08-80	0.6979	0.020937
18-08-80	0.7774	0.023322
25-08-80	0.7228	0.021684
01-09-80	0.7201	0.021603
08-09-80	0.7022	0.021066
15-09-80	0.6893	0.020679
22-09-80	0.6922	0.020766
29-09-80	0.7111	0.021333
06-10-80	0.7168	0.021504
13-10-80	0.6888	0.020664
20-10-80	0.733	0.02199
27-10-80	0.7329	0.021987
03-11-80	0.7083	0.021249
10-11-80	0.7061	0.021183
17-11-80	0.8187	0.024561
24-11-80	0.7496	0.022488
01-12-80	0.7352	0.022056
08-12-80	0.6839	0.020517
15-12-80	0.7366	0.022098
22-12-80	0.6912	0.020736
29-12-80	0.7457	0.022371
12-01-81	0.7681	0.023043
19-01-81	0.7526	0.022578
26-01-81	0.7215	0.021645
02-02-81	0.7665	0.022995
09-02-81	0.7242	0.021726
16-02-81	0.7342	0.022026
23-02-81	0.771	0.02313
02-03-81	0.8351	0.025053
09-03-81	0.7068	0.021204
16-03-81	0.9483	0.028449
23-03-81	0.7747	0.023241
30-03-81	0.7463	0.022389
06-04-81	0.9263	0.027789
13-04-81	0.7567	0.022701
21-04-81	0.8292	0.024876
27-04-81	1.203	0.03609
04-05-81	0.8281	0.024843
11-05-81	0.7698	0.023094
18-05-81	0.7585	0.022755
25-05-81	0.7598	0.022794
01-06-81	0.7973	0.023919
08-06-81	0.7787	0.023361
15-06-81	0.8131	0.024393
22-06-81	0.9482	0.028446
29-06-81	0.9579	0.028737
06-07-81	0.7363	0.022089
13-07-81	0.7385	0.022155
20-07-81	0.7827	0.023481
27-07-81	0.7352	0.022056
03-08-81	0.8395	0.025185
10-08-81	1.085	0.03255
17-08-81	0.8011	0.024033
24-08-81	0.828	0.02484
31-08-81	0.7258	0.021774
07-09-81	0.7016	0.021048
14-09-81	0.7562	0.022686
21-09-81	0.7279	0.021837
28-09-81	0.7595	0.022785
05-10-81	0.7791	0.023373
12-10-81	0.901	0.02703
19-10-81	0.8749	0.026247
26-10-81	0.7453	0.022359
02-11-81	0.7902	0.023706
09-11-81	0.7728	0.023184
16-11-81	0.8045	0.024135
23-11-81	0.7949	0.023847
30-11-81	0.7414	0.022242
07-12-81	0.8085	0.024255
14-12-81	0.7476	0.022428
21-12-81	0.7515	0.022545
28-12-81	0.7285	0.021855
11-01-82	0.7204	0.021612
18-01-82	1.427	0.04281
25-01-82	0.766	0.02298
01-02-82	0.9324	0.027972
08-02-82	1.45	0.0435
15-02-82	0.8019	0.024057
22-02-82	0.7561	0.022683
01-03-82	0.822	0.02466
08-03-82	0.7858	0.023574
15-03-82	0.8136	0.024408
22-03-82	0.8622	0.025866
29-03-82	0.9689	0.029067
05-04-82	0.8122	0.024366
12-04-82	0.7706	0.023118
19-04-82	0.767	0.02301
26-04-82	0.7658	0.022974
03-05-82	0.8344	0.025032
10-05-82	0.8054	0.024162
17-05-82	0.7787	0.023361
24-05-82	0.8293	0.024879
01-06-82	0.7346	0.022038
07-06-82	0.7878	0.023634
14-06-82	0.8013	0.024039
21-06-82	0.7738	0.023214
28-06-82	0.8101	0.024303
05-07-82	0.7693	0.023079
12-07-82	0.7965	0.023895
19-07-82	0.7585	0.022755
26-07-82	0.7633	0.022899
02-08-82	0.8118	0.024354
09-08-82	0.7424	0.022272
16-08-82	0.7631	0.022893
23-08-82	0.7531	0.022593
30-08-82	0.7808	0.023424
06-09-82	0.7765	0.023295
13-09-82	0.8275	0.024825
20-09-82	0.7686	0.023058
27-09-82	0.8195	0.024585
04-10-82	0.8144	0.024432
11-10-82	0.8109	0.024327
18-10-82	0.7989	0.023967
25-10-82	0.7562	0.022686
01-11-82	0.8831	0.026493
08-11-82	0.7813	0.023439
15-11-82	0.8474	0.025422
22-11-82	1.017	0.03051
29-11-82	0.8285	0.024855
06-12-82	0.8242	0.024726
13-12-82	0.805	0.02415
20-12-82	0.7645	0.022935
27-12-82	0.8279	0.024837
10-01-83	0.768	0.02304
17-01-83	0.8134	0.024402
24-01-83	0.7586	0.022758
31-01-83	0.7982	0.023946
07-02-83	0.8491	0.025473
14-02-83	0.7621	0.022863
21-02-83	0.7509	0.022527
28-02-83	0.7987	0.023961
07-03-83	0.8538	0.025614
14-03-83	0.8056	0.024168
21-03-83	0.7928	0.023784
28-03-83	0.8671	0.026013
05-04-83	0.7586	0.022758
11-04-83	0.9942	0.029826
18-04-83	0.7786	0.023358
25-04-83	0.8559	0.025677
02-05-83	0.8633	0.025899
09-05-83	0.7478	0.022434
16-05-83	0.889	0.02667
24-05-83	1.015	0.03045
30-05-83	0.882	0.02646
06-06-83	1.437	0.04311
13-06-83	0.9297	0.027891
20-06-83	0.8262	0.024786
27-06-83	0.9023	0.027069
04-07-83	0.804	0.02412
11-07-83	0.7718	0.023154
18-07-83	0.7706	0.023118
25-07-83	0.8111	0.024333
01-08-83	0.8146	0.024438
08-08-83	0.8295	0.024885
15-08-83	0.7783	0.023349
22-08-83	0.748	0.02244
29-08-83	0.7989	0.023967
05-09-83	0.9338	0.028014
12-09-83	0.8046	0.024138
19-09-83	0.9091	0.027273
26-09-83	0.8028	0.024084
03-10-83	0.9507	0.028521
10-10-83	0.8046	0.024138
17-10-83	0.8489	0.025467
24-10-83	0.8639	0.025917
31-10-83	0.967	0.02901
07-11-83	0.845	0.02535
14-11-83	0.8171	0.024513
21-11-83	0.8204	0.024612
28-11-83	0.8365	0.025095
05-12-83	0.7996	0.023988
12-12-83	0.8641	0.025923
19-12-83	0.7624	0.022872
27-12-83	0.8368	0.025104
09-01-84	0.7768	0.023304
16-01-84	0.8052	0.024156
23-01-84	0.8393	0.025179
30-01-84	0.8101	0.024303
06-02-84	0.8162	0.024486
13-02-84	0.9069	0.027207
20-02-84	0.9986	0.029958
27-02-84	1.147	0.03441
05-03-84	0.9502	0.028506
12-03-84	1.115	0.03345
19-03-84	1.013	0.03039
26-03-84	1.083	0.03249
02-04-84	1.114	0.03342
09-04-84	1.045	0.03135
16-04-84	1.048	0.03144
24-04-84	0.9285	0.027855
30-04-84	0.8544	0.025632
07-05-84	0.8492	0.025476
