configuration,comparison_count,median_relative_error,p95_relative_error,p99_relative_error,maximum_relative_error,median_bins,maximum_bins,worst_case
0.5x,133,1.3014046851477873e-15,2.0347285908859725e-05,4.751154284811462e-05,0.00010036291504390957,566,2335,kr85 | ig_shifted | shifted_low_dispersion
1x,133,1.3014046851477873e-15,3.595558353699866e-05,7.770186668001251e-05,0.0001413462328021509,308,1175,kr85 | exp_shifted | shifted_long_tail
2x,133,1.2595794417534265e-15,0.00011583219348776448,0.00015859208253646845,0.0004690176752767055,184,595,kr85 | exp_shifted | shifted_long_tail
