element	CFC-11	CFC-12	CFC-113
unit	pptv	pptv	pptv
09/06/2005	278.107378755613	661.141115421665	99.8644758094094
04/07/2006	241.232924731756	464.925516306645	78.5956915765017
20/02/2007	273.552455177377	425.200436420999	72.0347865199413
27/11/2007	239.448436376084	539.430272948373	77.9083384910316
26/11/2010	234.375116574465	476.387634604424	68.5511120092745
07/11/2013	242.724123891551	549.751432422357	95.9705720429627
04/06/2014	NaN	546.256487903789	90.8919531409062
16/12/2014	270.677632647266	594.02432196429	93.5736473410055
11/05/2015	267.760744261194	491.730700647589	80.2609560171845
04/02/2016	225.337406121547	517.960397105513	83.7734535502832
18/04/2016	224.785199737221	517.272963780047	67.7255566189095
15/11/2016	244.662828130016	517.278064785338	71.0116280419853
17/05/2017	207.414078498178	464.068424928472	63.3138043575026
08/11/2017	NaN	489.445394821133	71.2991401273758
24/05/2018	206.765923846716	545.415730299343	56.2944984580156
15/11/2018	220.089128392231	443.962758522805	66.8569383612482
28/05/2019	220.929199810172	528.776955603242	86.5381936405417
18/02/2020	225.340537732969	481.714421427085	72.5464977649176
11/05/2021	124.6272419	1008.186000	73.01027399
08/02/2024	237.7313808	536.4100769	71.3297726
