element	CFC-11	CFC-12	CFC-113
unit	pptv	pptv	pptv
19/01/2005	1157.22498245377	3137.96562408121	53.0664758147115
19/01/2005	889.980268248906	2481.43329686414	37.7389396387323
19/01/2005	908.464631890624	2534.96193121648	44.0142324600848
09/06/2005	144.589245564303	963.749778448915	120.523559182886
09/06/2005	445.788758760665	1683.49823240825	183.395580543141
03/07/2006	199.123598723951	765.045376242687	195.320941318667
04/06/2014	115.263224832579	1000.92777314476	38.6140173802436
16/12/2014	228.227270753631	426.895690694331	64.8359197575201
11/05/2015	533.25553329477	762.998158216884	37.06857438881
03/02/2016	45.5347467511053	581.396669882696	70.6808429113075
03/02/2016	162.543344170318	598.046870213906	73.8609529819856
16/05/2017	246.924099426873	579.498730012458	50.4251033103943
16/05/2017	37.7776752868522	629.544200334443	34.8541673392931
08/11/2017	240.691400973056	698.159170764433	72.1345548910122
24/05/2018	167.188989554146	648.823706417336	33.5832252751108
15/11/2018	223.577804433155	760.15657247337	104.696433575346
27/05/2019	248.590172925398	524.331401829642	67.468230154243
19/02/2020	231.441970429628	527.228553649852	56.4110246410375

