element	CFC-11	CFC-12	CFC-113
unit	pptv	pptv	pptv
16/12/2004	155.678180467076	316.538053709644	5.32925477724568
09/06/2005	169.964294441123	472.991356094024	13.7015899509533
23/02/2006	NaN	353.441303966924	NaN
27/09/2006	172.394724507869	301.964658805984	19.3349290282569
20/02/2007	218.288221100357	382.805104416238	30.1248836243443
09/04/2008	194.119551325687	385.223154711614	NaN
10/04/2008	172.624216938629	341.641480441321	NaN
10/04/2008	172.42393474834	394.056171324596	NaN
11/04/2008	176.347264693581	417.20757943225	NaN
11/04/2008	149.880122163782	373.447769455697	NaN
16/11/2016	147.398667161509	666.58217361609	31.8793529452529

