element	concentration	error	unit	date
cfc11	24.6904330260852	0.0	0	2004.6986301369864
cfc12	457.551687732949	0.0	0	2004.6986301369864
cfc113	77.063595528055	0.0	0	2004.6986301369864
cfc11	19.9497171566171	0.0	0	2004.8328767123287
cfc12	666.956999082628	0.0	0	2004.8328767123287
cfc113	40.0854452121193	0.0	0	2004.8328767123287
cfc11	15.6988700729754	0.0	0	2004.9479452054795
cfc12	615.807600354673	0.0	0	2004.9479452054795
cfc113	17.6936273275087	0.0	0	2004.9479452054795
cfc11	25.2355432571713	0.0	0	2005.2794520547945
cfc12	644.117387559103	0.0	0	2005.2794520547945
cfc113	42.9312478411317	0.0	0	2005.2794520547945
cfc11	24.55230223415	0.0	0	2005.3013698630136
cfc12	631.107015284198	0.0	0	2005.3013698630136
cfc113	41.4069180815369	0.0	0	2005.3013698630136
cfc11	23.0640087129724	0.0	0	2006.5013698630137
cfc12	470.621402835323	0.0	0	2006.5013698630137
cfc113	44.3135145540646	0.0	0	2006.5013698630137
cfc11	23.9249204853979	0.0	0	2007.1397260273973
cfc12	638.143055793658	0.0	0	2007.1397260273973
cfc113	179.376252099307	0.0	0	2007.1397260273973
cfc11	34.5143670246568	0.0	0	2007.8958904109588
cfc12	560.947838862065	0.0	0	2007.8958904109588
cfc113	44.7094924130882	0.0	0	2007.8958904109588
cfc11	39.594171756472	0.0	0	2013.841095890411
cfc12	611.570455886393	0.0	0	2013.841095890411
cfc113	55.2024826710938	0.0	0	2013.841095890411
cfc11	68.4514108151004	0.0	0	2014.4219178082192
cfc12	559.281770235354	0.0	0	2014.4219178082192
cfc113	50.2484210265277	0.0	0	2014.4219178082192
cfc11	27.6516969530193	0.0	0	2015.358904109589
cfc12	426.951275223176	0.0	0	2015.358904109589
cfc113	37.568851520992	0.0	0	2015.358904109589
cfc11	35.9531525415306	0.0	0	2017.8465753424657
cfc12	466.914538583119	0.0	0	2017.8465753424657
cfc113	18.4673411123123	0.0	0	2017.8465753424657
cfc11	28.0293253711327	0.0	0	2018.3945205479451
cfc12	525.663224653051	0.0	0	2018.3945205479451
cfc113	16.7460338394694	0.0	0	2018.3945205479451
cfc11	27.9372369742776	0.0	0	2018.86301369863
cfc12	385.614302043379	0.0	0	2018.86301369863
cfc113	18.1759369016697	0.0	0	2018.86301369863
cfc11	29.5766439219566	0.0	0	2019.4027397260274
cfc12	398.436256273054	0.0	0	2019.4027397260274
cfc113	21.2993760465958	0.0	0	2019.4027397260274
cfc11	67.4669644387275	0.0	0	2020.1342465753426
cfc12	521.315621418764	0.0	0	2020.1342465753426
cfc113	31.5895977421005	0.0	0	2020.1342465753426
