element	CFC-11	CFC-12	CFC-113
unit	pptv	pptv	pptv
15/09/2004	24.6904330260852	457.551687732949	77.063595528055
04/11/2004	19.9497171566171	666.956999082628	40.0854452121193
16/12/2004	15.6988700729754	615.807600354673	17.6936273275087
12/04/2005	25.2355432571713	644.117387559103	42.9312478411317
20/04/2005	24.55230223415	631.107015284198	41.4069180815369
03/07/2006	23.0640087129724	470.621402835323	44.3135145540646
21/02/2007	23.9249204853979	638.143055793658	179.376252099307
27/11/2007	34.5143670246568	560.947838862065	44.7094924130882
07/11/2013	39.594171756472	611.570455886393	55.2024826710938
04/06/2014	68.4514108151004	559.281770235354	50.2484210265277
11/05/2015	27.6516969530193	426.951275223176	37.568851520992
09/11/2017	35.9531525415306	466.914538583119	18.4673411123123
24/05/2018	28.0293253711327	525.663224653051	16.7460338394694
15/11/2018	27.9372369742776	385.614302043379	18.1759369016697
27/05/2019	29.5766439219566	398.436256273054	21.2993760465958
19/02/2020	67.4669644387275	521.315621418764	31.5895977421005



