date	c(pptv)
1940	0.01
1940.5	0.01
1941	0.02
1941.5	0.02
1942	0.02
1942.5	0.02
1943	0.03
1943.5	0.03
1944	0.04
1944.5	0.04
1945	0.05
1945.5	0.05
1946	0.07
1946.5	0.08
1947	0.11
1947.5	0.14
1948	0.2
1948.5	0.25
1949	0.34
1949.5	0.42
1950	0.55
1950.5	0.67
1951	0.85
1951.5	1.02
1952	1.27
1952.5	1.52
1953	1.87
1953.5	2.2
1954	2.63
1954.5	3.04
1955	3.56
1955.5	4.07
1956	4.71
1956.5	5.35
1957	6.06
1957.5	6.77
1958	7.42
1958.5	8.06
1959	8.72
1959.5	9.37
1960	10.2
1960.5	11.1
1961	12.2
1961.5	13.3
1962	14.8
1962.5	16.2
1963	17.9
1963.5	19.7
1964	21.7
1964.5	23.8
1965	26.1
1965.5	28.4
1966	31
1966.5	33.6
1967	36.5
1967.5	39.5
1968	42.8
1968.5	46.1
1969	50
1969.5	53.8
1970	58.2
1970.5	62.5
1971	67.3
1971.5	72.1
1972	77.4
1972.5	82.8
1973	88.9
1973.5	95
1974	101.6
1974.5	108.3
1975	113.9
1975.5	121.4
1976	128.2
1976.5	134.4
1977	141.3
1977.5	145.724
1978	149.829
1978.5	154.164
1979	159.2
1979.5	161.495
1980	168.982
1980.5	172.175
1981	175.933
1981.5	179.655
1982	184.319
1982.5	186.981
1983	192.94
1983.5	197.646
1984	201.907
1984.5	204.726
1985	212.909
1985.5	216.93
1986	223.826
1986.5	227.989
1987	235.297
1987.5	240.012
1988	248.37
1988.5	253.965
1989	259.015
1989.5	262.216
1990	267.654
1990.5	266.869
1991	269.782
1991.5	269.992
1992	272.541
1992.5	273.345
1993	275.15
1993.5	274.137
1994	274.335
1994.5	273.212
1995	273.098
1995.5	272.322
1996	271.83
1996.5	270.835
1997	270.378
1997.5	269.366
1998	269.018
1998.5	267.219
1999	267.406
1999.5	265.722
2000	265.533
2000.5	264.086
2001	263.713
2001.5	262.134
2002	261.623
2002.5	259.885
2003	258.967
2003.5	257.661
2004	256.536
2004.5	255.09
2005	253.893
2005.5	252.909
2006	251.899
2006.5	250.651
2007	249.488
2007.5	248.068
2008	247.217
2008.5	245.803
2009	245.068
2009.5	243.519
2010	243.171
2010.5	241.47
2011	240.88
2011.5	239.53
2012	238.85
2012.5	236.84
2013	236.21
2013.5	235.70
2014	235.20
2014.5	234.80
2015	234.50
2015.5	232.90
2016	231.54
2016.5	231.28
2017	230.61
2017.5	230.45
2018	229.85
2018.5	229.19
2019	228.25
2019.5	226.79
2020	225.47
2020.5	224.28
