element	CFC-11	CFC-12	CFC-113
unit	pptv	pptv	pptv
09/06/2005	8.50623016544029	142.162539866486	14.2341323057975
15/03/2006	5.84044703746203	22.3375300809183	287.795860762773
27/09/2006	9.08472355529463	18.8344058373902	9.66746451412845
20/02/2007	8.59741845807124	21.0879527855326	11.8459716162161
18/04/2016	22.5530909336542	85.4187175574155	8.19894971446418
16/11/2016	12.7208454990374	32.3201020082084	8.33717032990415
18/05/2017	21.1487048717434	21.8168648323885	13.0508480730152
08/11/2017	8.95996012083381	21.115319325488	10.4612477385362
24/05/2018	20.3501380879886	42.4964749463893	12.0992657105592
16/11/2018	14.0164226625224	40.12495996595	8.43964538757811
27/05/2019	12.1267089965168	43.3740050699024	16.7903688828826
18/02/2020	29.0470075365379	124.215191196618	15.9662926827082

