element	concentration	error	unit	date
cfc11	8.91163639869242	0.0	0	2004.6986301369864
cfc11	4.90072485653779	0.0	0	2004.6986301369864
cfc11	3.02357382270575	0.0	0	2004.8328767123287
cfc11	3.54482943536896	0.0	0	2004.9479452054795
cfc11	4.2240544327498	0.0	0	2005.4356164383562
cfc11	15.5758140070025	0.0	0	2006.5013698630137
cfc11	28.0067513154349	0.0	0	2009.4438356164383
cfc11	17.1544977875297	0.0	0	2010.890410958904
cfc11	27.5295947438001	0.0	0	2011.2410958904109
cfc11	66.399693454254	0.0	0	2014.4219178082192
cfc11	54.8023853426995	0.0	0	2015.358904109589
cfc11	22.9596229449816	0.0	0	2016.0876712328768
cfc11	35.3512182828717	0.0	0	2016.295890410959
cfc11	35.9820549658723	0.0	0	2016.86301369863
cfc11	31.17695959	0.0	0	2017.3753424657534
cfc11	31.0249815781982	0.0	0	2017.8438356164384
cfc11	24.9879779726112	0.0	0	2018.3945205479451
cfc11	38.5298860592888	0.0	0	2018.86301369863
cfc11	39.0421124418096	0.0	0	2019.4027397260274
cfc11	22.8688252609136	0.0	0	2020.1342465753426
cfc11	29.08297992	0.0	0	2021.358904109589
cfc11	8.532322143	0.0	0	2024.1041095890412
