element	concentration	error	unit	date
cfc11	278.107378755613	0.0	0	2005.4356164383562
cfc12	661.141115421665	0.0	0	2005.4356164383562
cfc113	99.8644758094094	0.0	0	2005.4356164383562
cfc11	241.232924731756	0.0	0	2006.504109589041
cfc12	464.925516306645	0.0	0	2006.504109589041
cfc113	78.5956915765017	0.0	0	2006.504109589041
cfc11	273.552455177377	0.0	0	2007.13698630137
cfc12	425.200436420999	0.0	0	2007.13698630137
cfc113	72.0347865199413	0.0	0	2007.13698630137
cfc11	239.448436376084	0.0	0	2007.8958904109588
cfc12	539.430272948373	0.0	0	2007.8958904109588
cfc113	77.9083384910316	0.0	0	2007.8958904109588
cfc11	234.375116574465	0.0	0	2010.8931506849315
cfc12	476.387634604424	0.0	0	2010.8931506849315
cfc113	68.5511120092745	0.0	0	2010.8931506849315
cfc11	242.724123891551	0.0	0	2013.841095890411
cfc12	549.751432422357	0.0	0	2013.841095890411
cfc113	95.9705720429627	0.0	0	2013.841095890411
cfc12	546.256487903789	0.0	0	2014.4219178082192
cfc113	90.8919531409062	0.0	0	2014.4219178082192
cfc11	270.677632647266	0.0	0	2014.9479452054795
cfc12	594.02432196429	0.0	0	2014.9479452054795
cfc113	93.5736473410055	0.0	0	2014.9479452054795
cfc11	267.760744261194	0.0	0	2015.358904109589
cfc12	491.730700647589	0.0	0	2015.358904109589
cfc113	80.2609560171845	0.0	0	2015.358904109589
cfc11	225.337406121547	0.0	0	2016.0931506849315
cfc12	517.960397105513	0.0	0	2016.0931506849315
cfc113	83.7734535502832	0.0	0	2016.0931506849315
cfc11	224.785199737221	0.0	0	2016.295890410959
cfc12	517.272963780047	0.0	0	2016.295890410959
cfc113	67.7255566189095	0.0	0	2016.295890410959
cfc11	244.662828130016	0.0	0	2016.86301369863
cfc12	517.278064785338	0.0	0	2016.86301369863
cfc113	71.0116280419853	0.0	0	2016.86301369863
cfc11	207.414078498178	0.0	0	2017.3753424657534
cfc12	464.068424928472	0.0	0	2017.3753424657534
cfc113	63.3138043575026	0.0	0	2017.3753424657534
cfc12	489.445394821133	0.0	0	2017.8438356164384
cfc113	71.2991401273758	0.0	0	2017.8438356164384
cfc11	206.765923846716	0.0	0	2018.3945205479451
cfc12	545.415730299343	0.0	0	2018.3945205479451
cfc113	56.2944984580156	0.0	0	2018.3945205479451
cfc11	220.089128392231	0.0	0	2018.86301369863
cfc12	443.962758522805	0.0	0	2018.86301369863
cfc113	66.8569383612482	0.0	0	2018.86301369863
cfc11	220.929199810172	0.0	0	2019.4054794520548
cfc12	528.776955603242	0.0	0	2019.4054794520548
cfc113	86.5381936405417	0.0	0	2019.4054794520548
cfc11	225.340537732969	0.0	0	2020.131506849315
cfc12	481.714421427085	0.0	0	2020.131506849315
cfc113	72.5464977649176	0.0	0	2020.131506849315
cfc11	124.6272419	0.0	0	2021.358904109589
cfc12	1008.186	0.0	0	2021.358904109589
cfc113	73.01027399	0.0	0	2021.358904109589
cfc11	237.7313808	0.0	0	2024.1041095890412
cfc12	536.4100769	0.0	0	2024.1041095890412
cfc113	71.3297726	0.0	0	2024.1041095890412
