date	c(pptv)
1940	0
1940.5	0
1941	0
1941.5	0
1942	0
1942.5	0
1943	0
1943.5	0.01
1944	0.01
1944.5	0.03
1945	0.04
1945.5	0.06
1946	0.07
1946.5	0.09
1947	0.11
1947.5	0.13
1948	0.15
1948.5	0.17
1949	0.2
1949.5	0.22
1950	0.25
1950.5	0.28
1951	0.31
1951.5	0.34
1952	0.37
1952.5	0.41
1953	0.44
1953.5	0.49
1954	0.53
1954.5	0.58
1955	0.63
1955.5	0.69
1956	0.75
1956.5	0.81
1957	0.88
1957.5	0.95
1958	1.03
1958.5	1.11
1959	1.19
1959.5	1.29
1960	1.39
1960.5	1.5
1961	1.61
1961.5	1.74
1962	1.86
1962.5	2
1963	2.15
1963.5	2.32
1964	2.49
1964.5	2.67
1965	2.86
1965.5	3.08
1966	3.29
1966.5	3.54
1967	3.79
1967.5	4.07
1968	4.35
1968.5	4.67
1969	5
1969.5	5.37
1970	5.75
1970.5	6.17
1971	6.6
1971.5	7.08
1972	7.57
1972.5	8.14
1973	8.69
1973.5	9.33
1974	9.97
1974.5	10.7
1975	11.4
1975.5	12.3
1976	13.1
1976.5	14.1
1977	15
1977.5	16.2
1978	17.3
1978.5	18.5
1979	19.8
1979.5	21.2
1980	22.7
1980.5	24.3
1981	25.8
1981.5	27.5
1982	29.1
1982.5	30.9
1983	32.7
1983.5	34.9
1984	37.2
1984.5	39.9
1985	42.5
1985.5	45.4
1986	48.2
1986.5	51.3
1987	54.5
1987.5	58
1988	61.5
1988.5	65.1
1989	68.8
1989.5	71.8
1990	74.8
1990.5	77
1991	79.1
1991.5	80.6
1992	81.9
1992.5	83.109
1993	83.228
1993.5	83.481
1994	84.026
1994.5	84.538
1995	84.554
1995.5	84.542
1996	84.543
1996.5	84.512
1997	84.294
1997.5	84.039
1998	83.901
1998.5	83.389
1999	83.15
1999.5	82.754
2000	82.651
2000.5	82.32
2001	82.057
2001.5	81.693
2002	81.396
2002.5	80.977
2003	80.742
2003.5	80.154
2004	79.971
2004.5	79.448
2005	79.246
2005.5	79.007
2006	78.519
2006.5	78.219
2007	77.864
2007.5	77.466
2008	76.949
2008.5	76.493
2009	76.264
2009.5	75.913
2010	75.595
2010.5	75.15
2011	74.95
2011.5	74.45
2012	74.27
2012.5	73.78
2013	73.69
2013.5	73.16
2014	72.80
2014.5	72.40
2015	72.30
2015.5	71.90
2016	71.70
2016.5	71.30
2017	71.12
2017.5	70.77
2018	70.57
2018.5	70.11
2019	69.87
2019.5	69.41
2020	69.17
2020.5	68.87


