date,concentration
1953.6191780821919,18.08670807
1953.704109589041,24.02426376
1953.786301369863,22.19732355
1953.8712328767124,35.62533409
1953.9534246575342,24.84638685
1954.0383561643835,25.57716293
1954.2,758.180187
1954.2849315068493,661.3523559
1954.3671232876711,816.6422737
1954.4520547945206,282.2622624
1954.5342465753424,212.8385344
1954.6191780821919,122.404994
1954.704109589041,60.28902692
1954.786301369863,30.14451346
1954.8712328767124,38.3657444
1954.9534246575342,24.66369283
1955.0383561643835,21.00981241
1955.123287671233,31.97145367
1955.2,42.01962482
1955.2849315068493,46.58697534
1955.3671232876711,84.03924964
1955.4520547945206,90.43354037
1955.5342465753424,33.79839388
1955.6191780821919,24.66369283
1955.704109589041,44.76003513
1955.786301369863,21.00981241
1955.8712328767124,21.92328251
1955.9534246575342,28.31757325
1956.0382513661202,60.28902692
1956.122950819672,58.91882176
1956.2021857923498,98.65477132
1956.2868852459017,100.4817115
1956.3688524590164,187.2613715
1956.4535519125684,207.3577138
1956.535519125683,206.4442437
1956.620218579235,411.9750173
1956.704918032787,104.1355919
1956.7868852459017,74.90454859
1956.8715846994535,44.76003513
1956.9535519125684,42.01962482
1957.0383561643835,91.34701048
1957.123287671233,126.9723446
1957.2,89.52007027
1957.2849315068493,84.03924964
1957.3671232876711,147.0686869
1957.4520547945206,128.7992848
1957.5342465753424,165.338089
1957.6191780821919,136.1070456
1957.704109589041,118.7511136
1957.786301369863,87.69313006
1957.8712328767124,66.68331765
1957.9534246575342,77.64495891
1958.0383561643835,221.9732355
1958.123287671233,251.2042788
1958.2,251.2042788
1958.2849315068493,356.2533409
1958.3671232876711,520.6779597
1958.4520547945206,776.4495891
1958.5342465753424,730.7760838
1958.6191780821919,1347.368405
1958.704109589041,301.4451346
1958.786301369863,127.8858147
1958.8712328767124,215.5789447
1958.9534246575342,548.0820629
1959.0383561643835,667.7466466
1959.123287671233,806.5941025
1959.2,1138.183751
1959.2849315068493,909.8162244
1959.3671232876711,591.9286279
1959.4520547945206,643.9964239
1959.5342465753424,531.639601
1959.6191780821919,237.5022272
1959.704109589041,116.0107033
1959.786301369863,92.26048058
1959.8712328767124,97.74130121
1959.9534246575342,90.43354037
1960.0382513661202,100.4817115
1960.122950819672,121.4915239
1960.2021857923498,84.03924964
1960.2868852459017,131.5396951
1960.3688524590164,166.2515591
1960.4535519125684,228.3675262
1960.535519125683,266.7332706
1960.620218579235,169.9054395
1960.704918032787,121.4915239
1960.7868852459017,95.0008909
1960.8715846994535,48.41391555
1960.9535519125684,74.90454859
1961.0383561643835,74.99131069
1961.123287671233,37.21087822
1961.2,41.00790661
1961.2849315068493,116.758623
1961.3671232876711,165.6453635
1961.4520547945206,119.1317657
1961.5342465753424,133.3706222
1961.6191780821919,98.72273813
1961.704109589041,58.66408862
1961.786301369863,53.15839745
1961.8712328767124,95.87496683
1961.9534246575342,129.0989652
1962.0383561643835,462.2882064
1962.123287671233,1169.484744
1962.2,1023.299151
1962.2849315068493,979.6333245
1962.3671232876711,1148.601088
1962.4520547945206,939.7645264
1962.5342465753424,1165.687716
1962.6191780821919,832.4984744
1962.704109589041,522.0914035
1962.786301369863,494.5629477
1962.8712328767124,614.169342
1962.9534246575342,615.1185991
1963.0383561643835,1200.810228
1963.123287671233,1803.588485
1963.2,2752.845582
1963.2849315068493,2880.99529
1963.3671232876711,5629.094587
1963.4520547945206,4708.315203
1963.5342465753424,5648.079729
1963.6191780821919,2857.263863
1963.704109589041,2088.365614
1963.786301369863,1478.942558
1963.8712328767124,748.0145927
1963.9534246575342,1266.308968
1964.0382513661202,1579.56381
1964.122950819672,1111.580061
1964.2021857923498,2605.710732
1964.2868852459017,2822.14135
1964.3688524590164,2549.704564
1964.4535519125684,2244.993035
1964.535519125683,2477.561024
1964.620218579235,1692.525405
1964.704918032787,1018.552865
1964.7868852459017,616.0678562
1964.8715846994535,364.5147254
1964.9535519125684,410.0790661
1965.0383561643835,450.8971212
1965.123287671233,682.515853
1965.2,552.4676307
1965.2849315068493,952.1048686
1965.3671232876711,1025.197665
1965.4520547945206,1113.478575
1965.5342465753424,1495.079928
1965.6191780821919,893.2509286
1965.704109589041,548.6706023
1965.8712328767124,261.0457018
1965.9534246575342,202.1917617
1966.0383561643835,305.6607853
1966.123287671233,349.3266118
1966.2,410.0790661
1966.2849315068493,548.6706023
1966.3671232876711,740.4205359
1966.4520547945206,792.6296763
1966.5342465753424,751.8116211
1966.6191780821919,667.3277394
1966.704109589041,354.0728973
1966.786301369863,223.0754179
1966.8712328767124,217.3798753
1966.9534246575342,127.4852282
1967.0383561643835,179.4095914
1967.123287671233,224.7840807
1967.2,228.7709605
1967.2849315068493,306.6100424
1967.3671232876711,450.8971212
1967.4520547945206,401.5357522
1967.5342465753424,340.783298
1967.6191780821919,283.8278721
1967.704109589041,239.2127885
1967.786301369863,265.9818387
1967.8712328767124,131.8518108
1967.9534246575342,153.5897984
1968.0382513661202,61.98648846
1968.122950819672,225.0688578
1968.2021857923498,252.787165
1968.2868852459017,286.3908663
1968.3688524590164,263.0391417
1968.4535519125684,330.9110241
1968.535519125683,286.2010149
1968.620218579235,283.8278721
1968.704918032787,156.0578668
1968.7868852459017,274.1454497
1968.8715846994535,144.7617073
1968.9535519125684,142.3885646
1969.0383561643835,116.3789201
1969.123287671233,132.9909193
1969.2,200.483099
1969.2849315068493,202.2866874
1969.3671232876711,256.2994163
1969.4520547945206,299.3956885
1969.5342465753424,324.4560759
1969.6191780821919,253.3567193
1969.704109589041,160.6143009
1969.786301369863,227.4420005
1969.8712328767124,100.0516981
1969.9534246575342,112.9615946
1970.0383561643835,113.5311488
1970.123287671233,96.06481825
1970.2,166.6895463
1970.2849315068493,163.4620722
1970.3671232876711,293.8899973
1970.4520547945206,315.7229106
1970.5342465753424,303.0977912
1970.6191780821919,252.6922393
1970.704109589041,181.6878084
1970.786301369863,108.4051605
1970.8712328767124,100.4314009
1970.9534246575342,117.8028058
1971.0383561643835,139.3509419
1971.123287671233,80.02237331
1971.2,522.9457349
1971.2849315068493,277.2779981
1971.3671232876711,370.3051937
1971.4520547945206,316.3873905
1971.5342465753424,205.1344587
1971.6191780821919,120.8404285
