element	concentration	error	unit	date
cfc11	155.678180467076	0.0	0	2004.9479452054795
cfc12	316.538053709644	0.0	0	2004.9479452054795
cfc113	5.32925477724568	0.0	0	2004.9479452054795
cfc11	169.964294441123	0.0	0	2005.4356164383562
cfc12	472.991356094024	0.0	0	2005.4356164383562
cfc113	13.7015899509533	0.0	0	2005.4356164383562
cfc12	353.441303966924	0.0	0	2006.145205479452
cfc11	172.394724507869	0.0	0	2006.731506849315
cfc12	301.964658805984	0.0	0	2006.731506849315
cfc113	19.3349290282569	0.0	0	2006.731506849315
cfc11	218.288221100357	0.0	0	2007.13698630137
cfc12	382.805104416238	0.0	0	2007.13698630137
cfc113	30.1248836243443	0.0	0	2007.13698630137
cfc11	194.119551325687	0.0	0	2008.2712328767122
cfc12	385.223154711614	0.0	0	2008.2712328767122
cfc11	172.624216938629	0.0	0	2008.2739726027398
cfc12	341.641480441321	0.0	0	2008.2739726027398
cfc11	172.42393474834	0.0	0	2008.2739726027398
cfc12	394.056171324596	0.0	0	2008.2739726027398
cfc11	176.347264693581	0.0	0	2008.2767123287672
cfc12	417.20757943225	0.0	0	2008.2767123287672
cfc11	149.880122163782	0.0	0	2008.2767123287672
cfc12	373.447769455697	0.0	0	2008.2767123287672
cfc11	147.398667161509	0.0	0	2016.8657534246574
cfc12	666.58217361609	0.0	0	2016.8657534246574
cfc113	31.8793529452529	0.0	0	2016.8657534246574
