element	CFC-11	CFC-12	CFC-113
unit	pptv	pptv	pptv
12/4/2005	67.3594606974685	607.887719255508	26.0304173775246
20/4/2005	66.0998947028256	457.520166759787	26.7415567701771
9/6/2005	61.4968103778844	573.795909874123	25.27522921643
4/7/2006	65.0082371956945	811.389103224464	21.8698246901822
04/06/2014	15.8264674661381	412.141929861731	40.6818266731565
11/5/2015	69.1488634723522	246.067311227089	41.5178124466932
4/2/2016	29.3238222642481	228.263669537399	21.9640970802683
18/04/2016	34.4382335915741	224.800033111054	24.6439847502046
15/11/2016	46.1323270007589	269.992692597915	18.7699580488231
08/11/2017	34.5624497635545	211.18278268949	20.5218537323469
24/05/2018	32.128529165396	284.534669029026	13.2114475254268
15/11/2018	46.2106730047462	339.591002157144	18.2447882270313
27/05/2019	34.9321115121226	234.922428496905	17.9766301244051
19/02/2020	43.7460942723738	316.225229774166	26.8803423107247


