element	concentration	error	unit	date
cfc11	466.62611	0.0	0	2004.6986301369864
cfc12	479.384351	0.0	0	2004.6986301369864
cfc113	64.1056903	0.0	0	2004.6986301369864
cfc11	474.232445	0.0	0	2004.6986301369864
cfc12	486.310001	0.0	0	2004.6986301369864
cfc113	70.8547912	0.0	0	2004.6986301369864
cfc11	502.430213	0.0	0	2004.8328767123287
cfc12	552.223732	0.0	0	2004.8328767123287
cfc113	58.1440237	0.0	0	2004.8328767123287
cfc11	466.771535	0.0	0	2004.9479452054795
cfc12	576.656681	0.0	0	2004.9479452054795
cfc113	55.1003519	0.0	0	2004.9479452054795
cfc11	460.181997	0.0	0	2006.5013698630137
cfc12	408.010553	0.0	0	2006.5013698630137
cfc113	52.3564432	0.0	0	2006.5013698630137
cfc11	295.392662	0.0	0	2013.841095890411
cfc12	552.335222	0.0	0	2013.841095890411
cfc113	68.8033598	0.0	0	2013.841095890411
cfc11	307.751299	0.0	0	2014.4219178082192
cfc12	568.691408	0.0	0	2014.4219178082192
cfc113	62.1877716	0.0	0	2014.4219178082192
cfc11	370.959366	0.0	0	2015.358904109589
cfc12	211.286863	0.0	0	2015.358904109589
cfc113	49.5713622	0.0	0	2015.358904109589
cfc11	378.320154	0.0	0	2015.517808219178
cfc113	49.5713622	0.0	0	2015.517808219178
