element	concentration	error	unit	date
cfc11	191.208951393721	0.0	0	2005.0301369863014
cfc12	908.470842415493	0.0	0	2005.0301369863014
cfc113	57.3387079347086	0.0	0	2005.0301369863014
cfc12	116.281983865626	0.0	0	2006.3424657534247
cfc11	13.9321061070851	0.0	0	2006.5835616438355
cfc12	93.55786377921	0.0	0	2006.5835616438355
cfc113	15.4581845021924	0.0	0	2006.5835616438355
cfc11	18.3307143926359	0.0	0	2009.5260273972603
cfc12	61.2118189715182	0.0	0	2009.5260273972603
cfc113	20.3895615207073	0.0	0	2009.5260273972603
cfc11	12.2025576748632	0.0	0	2010.972602739726
cfc12	96.9905990682471	0.0	0	2010.972602739726
cfc113	6.85511120092745	0.0	0	2010.972602739726
cfc11	14.3810051801646	0.0	0	2011.323287671233
cfc12	138.383318622657	0.0	0	2011.323287671233
cfc113	7.80944942662702	0.0	0	2011.323287671233
cfc11	28.1142628367994	0.0	0	2013.9232876712329
cfc12	192.909354571443	0.0	0	2013.9232876712329
cfc113	17.7002486649588	0.0	0	2013.9232876712329
cfc11	113.445708716385	0.0	0	2014.504109589041
cfc12	323.256946033578	0.0	0	2014.504109589041
cfc113	63.5440459036107	0.0	0	2014.504109589041
cfc11	91.6524968479659	0.0	0	2015.441095890411
cfc12	776.325547564863	0.0	0	2015.441095890411
cfc113	80.3454187165112	0.0	0	2015.441095890411
cfc11	302.557848308575	0.0	0	2016.3780821917808
cfc12	1062.6330829095	0.0	0	2016.3780821917808
cfc113	63.754291889446	0.0	0	2016.3780821917808
cfc11	121.56750023278	0.0	0	2017.4575342465753
cfc12	711.364433093087	0.0	0	2017.4575342465753
cfc113	37.8331927141486	0.0	0	2017.4575342465753
cfc11	21.4977391278415	0.0	0	2017.9260273972602
cfc12	134.798235943137	0.0	0	2017.9260273972602
cfc113	11.3732205028998	0.0	0	2017.9260273972602
cfc11	152.419526120082	0.0	0	2018.4794520547946
cfc12	594.164797179209	0.0	0	2018.4794520547946
cfc113	41.0549588786842	0.0	0	2018.4794520547946
cfc11	40.4935844851917	0.0	0	2018.945205479452
cfc12	281.443617374738	0.0	0	2018.945205479452
cfc113	16.7653746373719	0.0	0	2018.945205479452
cfc11	34.1673356664297	0.0	0	2019.4849315068493
cfc12	243.752095693444	0.0	0	2019.4849315068493
cfc113	230.946826205294	0.0	0	2019.4849315068493
cfc11	230.774293089526	0.0	0	2020.2164383561644
cfc12	763.00326166167	0.0	0	2020.2164383561644
cfc113	89.2474400314916	0.0	0	2020.2164383561644
